gismu,標準,タグ,内容語,キーワード,原文,lo go'i,lo se go'i,lo te go'i,lo ve go'i,lo xe go'i,la go'i,rafsi,rafsi2,語法,使用例,参照,Tips,ロジバンたんのメモ,覚え方,上位概念,PS分類,@1型,@2型,@3型,@4型,@5型
kanpe,FALSE,,@1は@2《こと》を@3〈確率〉で予期［期待］する,予期、期待,"@1 expects/looks for the occurence of @2 (event), expected likelihood @3 (0-1, default {li} {so'a} i.e. near 1); @1 subjectively evaluates the likelihood of @2 (event) to be @3.",,,,,,,,,試験的 gismu。 ,,,,,,,,,,,,
kanro,TRUE,,@1は@2〈基準〉において健康［すこやか］である,健康、すこやか,@1 is healthy/fit/well/in good health by standard @2.,,,,,,,-ka'o-,,,,,,,,,,,,,,
kansa,TRUE,,@1は@2に@3《こと》において伴う［付き添う］；@1と@2は一緒である,伴う、付き添う、一緒,"@1 is with/accompanies/is a companion of @2, in state/condition/enterprise @3 (event/state).",,,,,,,-kan-,,,,,,,,,,,,,,
kantu,TRUE,,@1は@2《性質・動作》の量子である,量子,@1 is a quantum/ray/elementary particle/smallest measurable increment of property/activity @2.,,,,,,,-ka'u-,,「光子」なども。 ,,,,,,,,,,,,
kanxe,TRUE,,@1は@2《命題》@3《命題》の連言である,連言,"@1 is a conjunction, stating that @2 (du'u) and @3 (du'u) are both true.",,,,,,,-kax-,,,,,,,,,,,,,,
karbi,TRUE,,@1〈者〉は@2と@3を@4《属性》について比較する,比較,"@1 [observer] compares @2 with @3 in property @4 (ka), determining comparison @5 (state).",,,,,,,-kab-,,比較の結果／結論をx5として追加してもよい。 ,,,,,,,,,,,,
karce,TRUE,,@1は@2《客・荷物》@3〈原動力〉の車である,車,"@1 is a car/automobile/truck/van [a wheeled motor vehicle] for carrying @2, propelled by @3",,,,,,,,,x2 は運転手なども。 ,,,,,,,,,,,,
karda,TRUE,,@1は@2〈素材〉@3〈形状〉のカード［札］である,カード、札,"@1 is a card [small nearly-2-dimensional shape/form] of material @2, shape @3.",,,,,,,,,「はがき」「トランプ」「名刺」「カルタ」なども。 ,,,,,,,,,,,,
kargu,TRUE,,@1《もの・こと・属性》は@2〈者〉@3〈基準〉にとって高価［高額、高級］である,高価、高額、高級,@1 (object/commodity/property/event) is costly/expensive/dear to @2 by standard @3.,,,,,,,,,,,,,,,,,,,,,
karli,TRUE,,@1は@2を取り巻く@3〈素材〉の襟［ベルト部］である,襟、ベルト,@1 is a collar/ring/belt/band around/surrounding @2 made of material @3.,,,,,,,,,「dasri」と違い、物体としての独立性に欠ける。 ,,,,,,,,,,,,
karni,TRUE,,@1は@2〈内容〉@3〈出版者〉@4〈読者〉の刊行物［雑誌、新聞］である,刊行物、雑誌、新聞,@1 is a journal/periodical/magazine/[newspaper] with content @2 published by @3 for audience @4.,,,,,,,,,,,,,,,,,,,,,
katci,FALSE,,@1is turned on / activated / operational for function x/2,,@1 is turned on / activated / operational for function @2,,,,,,,,,"Syn. {akti}. Turned off = {nalkatci}, to turn on (agentive) = {katcygau}, to turn off (agentive) = {nalkatcygau}. Also see {tolpo'u}.",,,,,,,,,,,,
katna,TRUE,,@1〈用具・刃・力〉は@2を切って@3〈部分〉にする,切る,@1 (tool/blade/force) cuts [through]/splits/divides @2 (object) into pieces @3.,,,,,,,-ka'a-,,,,,,,,,,,,,,
kavbu,TRUE,,@1は@2を@3〈罠・拘束力〉で捕らえる［捕獲、捕捉、逮捕］する,取る、捕らえる、捕獲、捕捉、逮捕,@1 captures/catches/apprehends/seizes/nabs @2 with trap/restraint @3.,,,,,,,-kav-,,「ボール（ x2 ）をキャッチする」も。 ,,,,,,,,,,,,
kazra,FALSE,,@1is quantum mechanical in property@2with behavior/traits/result x/3; @1demonstrates quantum weirdness/quantum mechanical nature.,,@1 is quantum mechanical in property @2 with behavior/traits/result @3; @1 demonstrates quantum weirdness/quantum mechanical nature.,,,,,,,,,"For ""quantumness"", use {kamkazra}. Proposed short rafsi: -kaz-. See also: {kantu}, {namra}, {klaso}, {slabu}, {mairsau} (physically behaves expectedly/familiarly, normally; displays no physical weirdness/exoticness), {cizra}, {maircizra} (physically behaves unexpectedly; displays physical weirdness/exoticness), {cizyfau} (exotic event/phenomenon/signal), {cizmai} ((physically) exotic material/matter/substance), {cizykantu} (new/exotic/unknown/unfamiliar particle/quanton), {cizratni} (exotic atom/bound state), {rartni}.",,,,,,,,,,,,
kecti,TRUE,,@1は@2を@3《こと》について哀れむ［慈しむ、かわいそう］だと思う；@1は慈悲的である,哀れむ、慈しむ、かわいそう、慈悲,@1 (person) pities/feels sorry for @2 (person) about @3 (abstraction).,,,,,,,-kec-   ,-ke'i-,,,,,,,,,,,,,
kekli,FALSE,,@1is kek (laughable in a sarcastic manner) in aspect@2(ka).,,@1 is kek (laughable in a sarcastic manner) in aspect @2 (ka).,,,,,,,,,"Joke gismu. Proposed rafsi: -kek-. Therefore, ""top kek"" is {kekrai}.",,,,,,,,,,,,
kelci,TRUE,,@1は@2〈道具・方法〉で遊ぶ,遊ぶ,@1 [agent] plays with plaything/toy @2.,,,,,,,-kel-   ,-kei-,,,,,,,,,,,,,
kelvo,TRUE,単位,@1は@3〈基準〉で@2《数》ケルビンある,ケルビン、K、度,@1 is @2 degree(s) Kelvin [metric unit] in temperature (default is 1) by standard @3.,,,,,,,-ke'o-,,,,,,,,,,,,,,
kenka,FALSE,,k_1 は k_2 〈材料〉・k_3 （作り方）のケーキ［トルテ、タルト、パイ、フラン］である,ケーキ、トルテ、タルト、パイ、フラン,"k_1 is a quantity of cake/torte/tart/pie/flan made of/containing ingredients k_2, prepared according to method k_3.",,,,,,,,,,,,,,,,,,,,,
kenra,TRUE,,@1は@2〈箇所〉の癌である,癌,@1 is a cancer [malignant disease] in @2.,,,,,,,-ken-,,,,,,,,,,,,,,
kensa,TRUE,,@1は@2〈天体・領域〉の宇宙空間である,宇宙,@1 is outer space near/associated with celestial body/region @2.,,,,,,,-kes-,,,,,,,,,,,,,,
kerfa,TRUE,身体、部位,@1は@2〈本体〉@3〈箇所〉の毛［髪］である,毛、髪,@1 is a/the hair/fur [body-part] of @2 at body location @3.,,,,,,,-kre-,,,,,,,毛る,,DD,もの,もの,-,-,-
kerlo,TRUE,身体、部位,@1は@2〈本体〉の耳［聴覚器官］；@1は聴覚者である,耳、聴覚器,"@1 is a/the ear [body-part] of @2; [metaphor: sensory apparatus, information gathering].",,,,,,,-ker-,,,,,,,,,DD,もの,もの,-,-,-
kesri,FALSE,,"@1(property of x/2) is a stereotype of@2(object/set), held by x/3",,"@1 (property of @2) is a stereotype of @2 (object/set), held by @3",,,,,,,,,"Does not necessarily carry a negative connotation. Stereotypes are, basically, the characteristics that come to one's mind when they imagine a particular object, regardless of actual commonality. e.g. Many people stereotypically think of roses as red, even though there are plenty of roses that aren't red. See {sei'i}, {lemkai}, {le'e}",,,,,,,,,,,,
ketco,TRUE,地域,@1は@2《属性》に関してラテンアメリカ［南アメリカ、ケチュア］的［らしい、っぽい、風］；@1は@2《属性》に関してラテンアメリカ［南アメリカ、ケチュア］系の言語［文化、民族、国民性、地理など］を反映している、満たしている,ラテンアメリカ、南アメリカ、ケチュア,@1 reflects South American culture/nationality/geography in aspect @2.,,,,,,,-ket-   ,-tco-,,,,,,,,DC,D,C,-,-,-
ketsu,FALSE,,@1is a pterosaur of subtaxon/type/genus/species/variety/breed x/2,,@1 is a pterosaur of subtaxon/type/genus/species/variety/breed @2,,,,,,,,,"gismu version of {ketslau} (otherwise identical). See also: {dinso}, {dinsauru}, {piknofibre}, {ketslau}, {reksa}.",,,,,,,,,,,,
kevna,TRUE,,@1は@2の穴である；@2は@1〈箇所〉において貫通している,穴,@1 is a cavity/hole/hollow/cavern in @2; @1 is concave within @2; @2 is hollow at locus @1.,,,,,,,-kev-   ,-ke'a-,,,,,,,,,,,,,
kibro,FALSE,,@1は@2の面でインターネット［サイバースペース］に関連する,インターネット、サイバースペース,@1 pertains to the internet/cyberspace in aspect @2.,,,,,,,,,xorxesが提案. 3文字 rafsi は -kib-. 関連語 : {mujysamseltcana}.,,,,,,,,,,,,
kicne,TRUE,,@1は@2のための@3〈素材〉のクッション［座布団］である；@1は@2を@3で緩衝する,クッション、座布団,@1 cushions @2 with material @3; @1 is a cushion/pillow/pad [for @2] of padding material @3.,,,,,,,-kic-   ,-ki'e-,,,,,,,,,,,,,
kijno,TRUE,元素,@1は酸素［O］である,酸素、O,@1 is a quantity of/contains/is made of oxygen (O); [metaphor: supporting life/combustion].,,,,,,,-kij-,,,,,,,,ratni,D,もの,-,-,-,-
kilto,TRUE,SI接頭辞,@1は@3［≜単位］《属性》においてキロ［10³］個（分）の@2である,キロ、千、k、1000,@1 is a thousand [1000; 10^3] of @2 in dimension/aspect @3 (default is units).,,,,,,,-ki'o-,,,,,,,,,,,,,,
kinda,FALSE,,@1is kinda like@2in property x/3,,@1 is kinda like @2 in property @3,,,,,,,,,This is a joke word. Its main use is in the tanru {kinda} {sorta},,,,,,,,,,,,
kinli,TRUE,,@1は@2〈箇所〉において鋭い,鋭い,@1 is sharp/keen at locus @2.,,,,,,,-kil-,,,,,,,,,,,,,,
kisto,TRUE,地域,@1は@2《属性》に関してパキスタン［パシュトー］的［らしい、っぽい、風］；@1は@2《属性》に関してパキスタン［パシュトー］系の言語［文化、民族、国民性、地理など］を反映している、満たしている,パキスタン、パシュトー,@1 reflects Pakistani/Pashto culture/nationality/language in aspect @2.,,,,,,,-kis-,,,,,,,,,DC,D,C,-,-,-
klaji,TRUE,,@1は@2〈所〉における@3につながる街路［通り、回廊］である,街路、通り、回廊,@1 is a street/avenue/lane/drive/cul-de-sac/way/alley/[road] at @2 accessing @3.,,,,,,,-laj-,,,,,,,,,,,,,,
klaku,TRUE,,@1は@2〈涙〉@3〈理由〉で泣く,泣く,@1 weeps/cries tears @2 about/for reason @3 (event/state).,,,,,,,-kak-,,,,,,,,,,,,,,
klama,TRUE,,@1は@2〈終点〉に@3〈起点〉から@4〈経路〉を@5〈方法〉で行く［来る］,行く、来る,@1 comes/goes to destination @2 from origin @3 via route @4 using means/vehicle @5.,,,,,,,-kla-,,,,,,,,,,,,,,
klani,TRUE,,@1は@2《数》を測定値として@3《尺度・概念》について測定された量,量,@1 is a quantity quantified/measured/enumerated by @2 (quantifier) on scale @3 (si'o).,,,,,,,-lai-,,,,,,,,,,,,,,
klesi,TRUE,,@1は@2〈上位の枠組〉@3〈特質〉の部門［カテゴリー、クラス、組、派、種類、タイプ］である,部門、カテゴリー、クラス、組、派、種類、タイプ,@1 (mass/si'o) is a class/category/subgroup/subset within @2 with defining property @3 (ka).,,,,,,,-kle-   ,-lei-,,,,,,,,,,,,,
kliki,FALSE,,"@1(text, sound) is a click sound",,"@1 (text, sound) is a click sound",,,,,,,,,"See {sa'ei}, {mosra}",,,,,,,,,,,,
klina,TRUE,,@1（物／媒体）は@2（伝わるもの）に関して明らか／透過性がある／遮られていない； @2は減衰も散乱もあまりせずにそのまま伝わる,,@1 (object/medium) is clear/transparent/without obstacle to in-the-clear @2 [transmission].,,,,,,,-kli-,,x2 は光や電波や音波など。「理解できる」ということを表すには {filseljmi} や {filsmu} という表現を使う。 klina を比喩的な意味で使うことは推奨されない。 ,,,,,,,,,,,,
kliru,TRUE,化学,@1は@2〈種類〉のハロゲン［造塩元素］である,塩素、フッ素、ヨウ素、臭素,"@1 is a quantity of/contains/is made of halogen of type @2 [chlorine, fluorine, iodine, etc.].",,,,,,,,,,,,,,,,,,,,,
kliti,TRUE,,@1は@2〈成分〉の粘土である,粘土,"@1 is a quantity of/contains/is made of clay [moist, clammy dirt] of composition including @2.",,,,,,,-kit-,,沼地の土なども。 ,,,,,,,,,,,,
klupe,TRUE,,@1は@2〈目的〉のためのねじ［ボルト］である,ねじ、ネジ、螺子、ボルト、🔩,"@1 is a screw [fastener] for purpose @2, threads [pitch, material] @3, frame [size, material] @4.",,,,,,,-lup-   ,-lu'e-,回転を要する留め具全般 ,,,,,,,,,,,,
kluza,TRUE,,@1は@2〈対象本体〉・@3〈対象箇所〉において緩い／弛んでいる,,@1 (obj.) is loose/bloused/not tight on @2 (obj.) at locus @3.,,,,,,,-luz-,,,,,,,,,,,,,,
kobli,TRUE,生物、植物,@1は@2〈種類〉の葉菜類である,葉菜類、アブラナ、キャベツ、コマツナ、チンゲンサイ、ニラ、ニンニク、ネギ、タマネギ、ノザワナ、ハクサイ、フキ、フダンソウ、ホウレンソウ、ミズナ、レタス、🥬,@1 is a quantity of cabbage/lettuce/leafy vegetable of species/strain @2.,,,,,,,-kob-   ,-ko'i-,葉菜類の例として、アブラナ、キャベツ、コマツナ、チンゲンサイ、ニラ、ニンニク、ネギ、タマネギ、ノザワナ、ハクサイ、フキ、フダンソウ、ホウレンソウ、ミズナ、レタスなどがあります。,,,,,,2,DD,もの,もの,-,-,-
kogno,FALSE,,@1(entity) is cognitive in that it allows knowing@2(proposition),,@1 (entity) is cognitive in that it allows knowing @2 (proposition),,,,,,,,,"See also {facki}, {djuno}.",,,,,,,,,,,,
kojna,TRUE,,@1は@2の角［隅］である,角、隅,"@1 is a corner/point/at-least-3-dimensional [solid] angle [shape/form] in/on @2, of material @3.",,,,,,,-koj-   ,-ko'a-,,,,,,,,,,,,,
kokso,FALSE,,@1is a coconut of variety/cultivar x/2,,@1 is a coconut of variety/cultivar @2,,,,,,,,,"See also {cidja}, {rutrkoko}",,,,,,,,,,,,
kolme,TRUE,,@1は@2〈起源〉の石炭［泥炭、ピート、無煙炭、瀝青炭］である,石炭、泥炭、ピート、無煙炭、瀝青炭,@1 is a quantity of/contains/is made of coal/peat/anthracite/bitumen from source @2.,,,,,,,-kol-   ,-ko'e-,,,,,,,,,,,,,
komcu,TRUE,,@1は@2〈素材〉@3〈針状物〉からなる櫛［梳き具］である,櫛、梳き具,@1 is a comb [many-needled shape] of material @2 with tines/needles @3.,,,,,,,-kom-,,,,,,,,,,,,,,
konju,TRUE,,@1は@2を頂点とする錐［円錐］である,錐、円錐,@1 is a cone [shape/form] of material @2 with vertex @3.,,,,,,,-kon-   ,-ko'u-,,,,,,,,,,,,,
korbi,TRUE,,@1は@2の@3に接する端［へり、縁、境界］である,端、へり、縁、境界,@1 is an edge/margin/border/curb/boundary of @2 next-to/bordering-on @3.,,,,,,,-kor-   ,-koi-,,,,,,,,,,,,,
korcu,TRUE,,@1は曲がっている［歪んでいる、ねじれている］,歪み、歪む、捻れ、ねじれ,(adjective:) @1 is bent/crooked/not straight or direct/[twisted]/folded.,,,,,,,-kro-,,,,,,,,,D,もの,-,-,-,-
korka,TRUE,,@1は@2〈木材・種類〉のコルクである,コルク,@1 is a quantity of/contains/is made of cork/bark from tree/species @2; [material].,,,,,,,-kok-,,,,,,,,,,,,,,
korvo,FALSE,,s_1 is a crow/raven of species s_2.,,s_1 is a crow/raven of species s_2.,,,,,,,,,See {cipnrkorvo} for a non-experimental version of this word.,,,,,,,,,,,,
kosmu,FALSE,,"@1(abstraction) is a purpose/use of@2(object or event), attributed by x/3",,"@1 (abstraction) is a purpose/use of @2 (object or event), attributed by @3",,,,,,,,,"Place structure has been inverted from the original version to match {krinu}. Syn. {erpi}. See {ko'au}, {terpli}, {terzu'e}, {terfi'i}",,,,,,,,,,,,
kosta,TRUE,もの、@2が素材,@1は@2〈素材〉のコート［ジャケット、マント］である,コート、ジャケット、マント,@1 is a coat/jacket/sweater/cloak/[cape/shawl/pullover] [extra outer garment] of material @2.,,,,,,,-kos-,,屋外向けに追加的に着る上着全般。 ,,,,,,,DD,もの,もの,-,-,-
krali,FALSE,,@1(NU) is a legal/moral entitlement of@2(individual/mass) by standard x/3.@2is a legal person.,,@1 (NU) is a legal/moral entitlement of @2 (individual/mass) by standard @3. @2 is a legal person.,,,,,,,,,"Normative principles, variously construed as legal, social, or moral freedoms or entitlements. {rarkrali} for ""natural rights and {flakrali} for ""legal rights""; {xuskrali} for ""claim rights"" and {zifkrali} for ""liberty rights""; {srakrali} for ""positive rights"" and {ri'urkrali} for ""negative rights""; {sepkrali} for ""individual rights"" and {gumkrali} for ""group rights""; {selcemkrali} for ""civil rights"" and {seljeckrali} for ""political rights""; {jiknykrali} for ""economic rights"", {jikykrali} for ""social rights"", and {klukrali} for ""cultural rights""; {remkrali} for ""human rights"" and {dalkrali} for ""animal rights""; perhaps {kralyxai} for ""violate"". Cf. {selfla}, {selzi'e}, {terzi'e}, {selzau}, {selpikta}.",,,,,,,,,,,,
kramu,TRUE,単位,@1は@3〈基準〉@2［≜1］《数》.@4〈下位単位〉の非SI単位系の単位分ある,非SI単位系、エーカー,"@1 is @2 local area unit(s) [non-metric] (default 1) by standard @3, @4 subunits.",,,,,,,,,例えば{ti kramu li pa la'o py .尺. py li vo}は「これは1尺4寸あります」となると思います。下位単位は@5、@6、@7…と追加することができます。例えば{ti kramu li pa la'o py .里. py li cimu li muso}は「これは1里35町59間あります」となると思います。,,,,ヤード・ポンド法をゆるしてはいけない,,,,,,,,
krasi,TRUE,,@1〈場所・事〉は@2《もの・こと》の起源［根源、発祥地］である,起源、根源、発祥地,@1 (site/event) is a source/start/beginning/origin of @2 (object/event/process).,,,,,,,-kra-,,,,,,,,,,,,,,
krati,TRUE,,@1は@2を@3〈事項・機能〉について代表する；@1は@2の代わりを務める,代表,@1 represents/is an agent/proxy/stands-in for [absent] @2 in matter(s)/function(s) @3.,,,,,,,-ka'i-,,,,,,,,,,,,,,
krefu,TRUE,,@1《こと》は@2《こと》の@3《数》度目の繰り返し［再発］である；@2は繰り返す,繰り返し、再発、繰り返す,@1 (event) is the @3'rd recurrence/repetition of @2 (abstract); @2 happens again in [form] @1.,,,,,,,-ref-   ,-ke'u-,,,,,,,,,,,,,
krici,TRUE,,@1は@2《命題》を@3〈題目〉について信じる,信じる,@1 believes [regardless of evidence/proof] belief/creed @2 (du'u) is true/assumed about subject @3.,,,,,,,-kri-,,根拠無しの受容。 ,,,,,,,,,,,,
krili,TRUE,,@1は@2〈成分〉@3〈形状〉の水晶［クリスタル］である,水晶、クリスタル,@1 is a quantity of/contains/is made of crystal of composition @2 in form/arrangement @3.,,,,,,,,,,,,,,,,,,,,,
krinu,TRUE,,@1《こと》は@2《こと》を許容する理由である,理由,@1 (event/state) is a reason/justification/explanation for/causing/permitting @2 (event/state).,,,,,,,-rin-   ,-ki'u-,,,,,,,,,,,,,
krixa,TRUE,,@1は@2〈音〉を叫ぶ［吠える］,叫ぶ、吠える,@1 cries out/yells/howls sound @2; @1 is a crier.,,,,,,,-kix-   ,-ki'a-,,,,,,,,,,,,,
kruca,TRUE,,@1は@2と@3〈箇所〉で交差する；@1は@2を渡る,交差、渡る,@1 intersects/crosses/traverses @2 at locus @3.,,,,,,,-kuc-,,,,,,,,,,,,,,
kruji,TRUE,,@1は@2〈成分〉のクリーム［乳濁液、エマルション、プーリ］である,クリーム、乳濁液、エマルション、プーリ,@1 is made of/contains/is a quantity of cream/emulsion/puree [consistency] of composition @2.,,,,,,,-ruj-,,「アイスクリーム」や「栄養クリーム」なども。 ,,,,,,,,,,,,
kruvi,TRUE,部位,@1は@2〈本体〉@3〈箇所〉における@4〈特性〉の湾曲である；@1は曲線である；@2は曲がっている,湾曲、曲線,"@1 is a curve/turn/bend in @2, at locus @3, and defined by set of points/properties @4.",,,,,,,-ruv-   ,-kru-,x4は曲線を結ぶ／描く点など。 ,,,,,,,DD,もの,もの,-,-,-
kubli,TRUE,,@1は@2［≜3］〈次元〉@3［≜6］〈面〉の立方体［多面体、多角形、多辺形、ポリゴン］である,立方体、多面体、多角形、多辺形、ポリゴン,"@1 is a cube/regular polyhedron/polygon of dimensions @2 (def. 3), surfaces/sides @3 (def. 6).",,,,,,,-kub-,,通常は三次元（ x2 ）・六面（ x3 ）。 ,,,,,,,,,,,,
kucli,TRUE,,@1は@2にたいして好奇心がある［興味を覚える］；@1は詮索が好き,好奇心、興味、詮索,@1 is curious/wonders about/is interested in/[inquisitive about] @2 (object/abstract).,,,,,,,,,,,,,,,,,,,,,
kufra,TRUE,,@1は@2（環境性質）について快適［心地良さ］を感じる,快適、心地良さ,@1 feels comfort/is comfortable with conditions/environmental property(ies) @2.,,,,,,,-kuf-,,,,,,,,,,,,,,
kukte,TRUE,,@1は@2にとっておいしい,おいしい,"@1 is delicious/tasty/delightful to observer/sense @2 [person, or sensory activity].",,,,,,,-kuk-,,「lo djacu po le cmana pu mutce kukte／お山の水はほんたうにおいしかつた」（山頭火『行乞記（二）』）比喩的に味覚以外のものにも。 ,,,,,,,,,,,,
kulnu,TRUE,,@1は@2〈国・エトス〉の文化である；@1は文化的である；@2は文化民族である,文化,"@1 [mass of ideas, customs, skills, arts] is culture of nation/ethos @2 (mass); @1 is ethnic.",,,,,,,-klu-,,x1は概念／慣習／技術／芸術などの集合。 ,,,,,,,,,,,,
kumfa,TRUE,,@1は@2〈構造〉内の@3〈壁・天井・床〉で仕切られた部屋［室］である,部屋、室,@1 is a room of/in structure @2 surrounded by partitions/walls/ceiling/floor @3 (mass/jo'u).,,,,,,,-kum-   ,-ku'a-,,,,,,,,,,,,,
kumte,TRUE,生物、動物,@1は@2〈種類〉のラクダ科の動物である,ラクダ科、ラクダ、ラマ、アルパカ、ビクーニャ,@1 is a camel/llama/alpaca/vicuna/dromedary of species/breed @2.,,,,,,,,,,,,,,,2,DD,もの,もの,-,-,-
kunra,TRUE,,@1は@2〈鉱石・原鉱・原石〉@3〈鉱脈・鉱床・鉱坑・鉱山〉の鉱物である,鉱物,@1 is/contains/is made from a mineral/ore of type/metal @2 mined from location/lode/mine @3.,,,,,,,-kun-,,,,,,,,,,,,,,
kunti,TRUE,,@1は@2〈内容〉がない；@1は空っぽである,空、空っぽ,@1 [container] is empty/vacant of @2 [material]; @1 is hollow.,,,,,,,-kut-,,「席（x1）が空いている」も。 ,,,,,,,,,,,,
kurfa,TRUE,,@1は@2〈頂角〉@3〈次元・面〉の四角形［長方形］である,四角形［長方形,"@1 is a right-angled shape/form defined by set of vertices @2, dimensions @3 (default 2).",,,,,,,-kur-,,,,,,,,,,,,,,
kurji,TRUE,,@1は@2《もの・こと》を世話する［面倒みる］,世話、面倒,@1 takes-care-of/looks after/attends to/provides for/is caretaker for @2 (object/event/person).,,,,,,,-kuj-   ,-ku'i-,「後見人」「養護者」なども。 ,,,,,,,,,,,,
kurki,TRUE,味覚,@1は@2〈者〉にたいして苦い［ビターである］,苦い、ビター,@1 is bitter/acrid/sharply disagreeable to observer/sense @2.,,,,,,,,,,,,,,,,,,,,,
kuspe,TRUE,,@1は@2〈間隔・領域〉にわたる；@2は@1の範囲［範疇］である,範囲、範疇,@1 ranges/extends/spans/persists/reaches across/over interval/gap/area/scope/extent/range @2.,,,,,,,-kup-   ,-ku'e-,,,,,,,,,,,,,
kusru,TRUE,,@1〈者〉は@2にたいして酷い、意地悪［不親切］である,酷い、意地悪、不親切,@1 (person) is cruel/mean/unkind to victim @2.,,,,,,,-kus-,,,,,,,,,,,,,,
labno,TRUE,,@1は@2〈種類〉の狼である,狼,@1 is a wolf/lupine of species/breed @2.,,,,,,,,,,,,,,,,,,,,,
lacni,FALSE,,@1is an eyewear used/worn by@2serving purpose x/3.,,@1 is an eyewear used/worn by @2 serving purpose @3.,,,,,,,,,"It is a frame worn in front of the eyes and bears or does not bear transparent/semi-transparent/non-transparent shields for visual correction, eye protection, fashion, or entertainment. The shields are not necessarily lenses. Cf. {le'otci} or {le'orlacni} for a corrective type, which may include {tidlacni} for reading glasses and {xrelacni} for bifocal and trifocal glasses; {badlacni} for a protective type, which may include {srulacni} for goggles and {solylacni} for sunglasses; {jadlacni} for fashion glasses, which may include {rekmeclacni} for rimless glasses and solylacni; {mincimdylacni} for 3D glasses.",,,,,,,,,,,,
lacpu,TRUE,,@1は@2〈対象本体〉@3〈対象箇所〉を引く［引っ張る］,引く、引っ張る,@1 pulls/tugs/draws/drags @2 by handle/at locus @3.,,,,,,,-lap-   ,-cpu-,,,,,,,,,,,,,
lacri,TRUE,,@1は@2に依存して@3《こと・状態》の発生［保障、維持］を求める；@1は@2を頼りに@3を期待する,頼る、依存、発生、保障、維持、期待,@1 relies/depends/counts on/trusts @2 to bring about/ensure/maintain @3 (event/state).,,,,,,,-lac-,,,,,,,,,,,,,,
ladru,TRUE,,@1は@2〈起源〉のミルク［牛乳］である；〚ladru BRODA〛@1は乳性［酪農］のBRODAである,ミルク、牛乳、乳性、酪農,@1 is made of/contains/is a quantity of milk from source @2; (adjective:) @1 is lactic/dairy.,,,,,,,-lad-,,,,,,,,,,,,,,
lafti,TRUE,,@1〈力〉は@2〈対象本体〉@3〈対象箇所〉を@4〈重力〉に対して持ち上げる［拾う、すくう］,持ち上げる、拾う、掬う、すくう,@1 (force) lifts/applies raising/supporting force to @2 at locus @3 in gravity well @4.,,,,,,,-laf-,,,,,,,,,,,,,,
lakne,TRUE,,@1《こと》は@2〈条件〉でありうる［起こりうる、蓋然的である］,ありえる,@1 (event/state/property) is probable/likely under conditions @2.,,,,,,,-la'e-,,,,,,,,,,,,,,
lakse,TRUE,,@1は@2〈起源〉の蝋［パラフィン］である,蝋、パラフィン,@1 is quantity of wax [substance especially soft/moldable when warm] from source @2.,,,,,,,-lak-,,,,,,,,,,,,,,
laldo,FALSE,,@1は@2〈基準〉において古い、高齢［年寄り］である,古い、高齢、年寄り、年配,@1 is old/aged [relatively long in elapsed duration] by standard @2,高齢者,,,,,,,,試験的 gismu。 ,,,,,,,,,,,,
lalxu,TRUE,,@1は@2〈所〉の湖［池、水たまり］である,湖、池、水たまり,@1 is a lake/lagoon/pool at site/within land mass @2.,,,,,,,-la'u-,,,,,,,,,,,,,,
lamji,TRUE,,@1は@2に@3〈並列特性〉@4〈並列方向〉で隣接する［隣り合う］；@1は@2の隣である,隣接、隣り合う、隣,@1 is adjacent/beside/next to/in contact with @2 in property/sequence @3 in direction @4.,,,,,,,-lam-   ,-la'i-,,,,,,,,,,,,,
lanbi,TRUE,,@1は@2〈種類〉のたんぱく質［アルブミン］である,たんぱく質、アルブミン,@1 is a quantity of protein/albumin of type @2 composed of amino acids (sequence/jo'u) @3 .,,,,,,,,,アミノ配列は「jo'u」による項の連続で表す。 ,,,,,,,,,,,,
lanci,TRUE,,@1は@2を象徴する@3〈模様〉@4〈素材〉の旗,旗,@1 is a flag/banner/standard of/symbolizing @2 with pattern(s) @3 on material @4.,,,,,,,,,x1は者だけでなく事も。 ,,,,,,,,,,,,
landa,FALSE,,"@1is the ISO-named country of people@2with ISO-name x/1, according to rule/specification x/3",,"@1 is the ISO-named country of people @2 with ISO-name @1, according to rule/specification @3",,,,,,,,,"See also: {gugde}, {jviso}.",,,,,,,,,,,,
lanka,TRUE,,@1は@2〈内容〉@3〈素材〉のかご［ざる］である,かご、ざる,"@1 is a basket with contents @2, woven from material @3.",,,,,,,,,,,,,,,,,,,,,
lanli,TRUE,,@1は@2を@3〈方法〉で分析［調査］する,分析、調査,@1 analyzes/examines-in-detail @2 by method/technique/system @3 [process/activity].,,,,,,,-lal-,,,,,,,,,,,,,,
lanme,TRUE,生物、動物,@1は@2〈種類〉の@3《群》のヒツジ属の動物,ヒツジ属、ヒツジ、羊,@1 is a sheep/[lamb/ewe/ram] of species/breed @2 of flock @3.,,,,,,,-lan-,,,,,,,ラム メェ,2,DD,もの,もの,-,-,-
lante,TRUE,,@1は@2〈生鮮物〉を詰めた@3〈素材〉の缶容器である,缶,"@1 is a can/tightly sealed/pre-sealed container for perishable contents @2, made of @3.",,,,,,,,,,,,,,,,,,,,,
lanxe,TRUE,,@1は@2（量群）によってバランスがとれている／平衡／均衡状態にある,,@1 is in balance/equilibrium under forces @2 (mass).,,,,,,,-lax-,,,,,,,,,,,,,,
