セルマホ,cmavo,種類,タグ,機能語,キーワード,原文,rafsi,rafsi2,語法,文法,使用例,語源,ロジバンたんのメモ,覚え方
NAhE+BO,no'ebo,複合cmavo,,negation sumti qualifier: the neutral form/value of.,,negation sumti qualifier: the neutral form/value of.,,,"Cf. {no'e}, {bo}, {na'ebo}, {je'abo}, {to'ebo}. Midpoint between {je'abo} and {to'ebo}.",,,,,
NAhE+BO,to'ebo,複合cmavo,,negation sumti qualifier: the opposite of.,,negation sumti qualifier: the opposite of.,,,"Cf. {to'e}, {bo}, {na'ebo}, {no'ebo}, {je'abo}.",,,,,
NAhU,na'u,標準,,selbri → 演算子 ： selbri をMEX（数式）演算子に変換する； cmavo として用意されていない演算子を捻出するのに用いる,,"convert selbri to mex operator; used to create less-used operators using fu'ivla, lujvo, etc.",,,・読み方： ナフ,,,,,
NAI,ja'ai,非標準,,affirm last word: attached to cmavo to affirm them; denies negation by nai whenever it is applicable.,,affirm last word: attached to cmavo to affirm them; denies negation by nai whenever it is applicable.,,,"Suggested by Mark Shoulson in 1999 as an affirmative of {nai}. By analogy with the pairs {na}/{ja'a}, {na'e}/{je'a}, and {na'i}/{jo'a}.",,,,,
NAI,nai,標準,,小構造否定 ： 左の語を否定する。命題否定か、対義否定か、段階否定かは、左の語の selma'o によって異なる。,,attached to cmavo to negate them; various negation-related meanings.,,,"TAhE, ROI, ZAhO 以外の間制や、法制や、論理接続や、 NU に付くと、矛盾否定 {na} と同じ意味になる。 TAhE, ROI, ZAhO や、非論理接続 JOI, BIhI に付くと、段階否定 {na'e} と同じ意味になる。 UI, CAI, COI に付くと、対義否定 {to'e} と同じ意味になる。 ・読み方： ナイ",,,,,
NAKU,ja'aku,複合cmavo,,"(adverbial) bridi logical affirmer; ""it is true that....""; affirms the bridi as well as any other adverbial or quantifier located on its right.",,"(adverbial) bridi logical affirmer; ""it is true that....""; affirms the bridi as well as any other adverbial or quantifier located on its right.",,,See also {naku}.,,,,,
NAKU,naku,複合cmavo,,"(adverbial) bridi contradictory negator; ""it is not true that....""; negates the bridi as well as any other adverbial or quantifier located on its right.",,"(adverbial) bridi contradictory negator; ""it is not true that....""; negates the bridi as well as any other adverbial or quantifier located on its right.",,,,,,,,
NIhE,ni'e,標準,,selbri → オペランド ： selbri をMEX（数式）オペランドに変換する；,,"convert selbri to mex operand; used to create new non-numerical quantifiers; e.g. ""herd"" of oxen.",,,・読み方： ニヘ,,,,,
NIhO,ni'o,標準,,discursive: paragraph break; introduce new topic.,,discursive: paragraph break; introduce new topic.,,,,,,,,
NIhO,no'i,標準,,discursive: paragraph break; resume previous topic.,,discursive: paragraph break; resume previous topic.,,,,,,,,
NOhOI,no'oi,非標準,,Selbri incidental relative clause; attaches to a selbri with the ke'a being 'me'ei the attached selbri',,Selbri incidental relative clause; attaches to a selbri with the ke'a being 'me'ei the attached selbri',,,"Cf. {me'ei}, {me'au}, {noi}, {po'oi}.",,,,,
NOhOI,po'oi,非標準,,"selbri restrictive relative clause; attaches to a selbri with the ke'a being ""me'ei the attached-selbri""",,"selbri restrictive relative clause; attaches to a selbri with the ke'a being ""me'ei the attached-selbri""",,,"Cf. {me'ei}, {me'au}, {no'oi}, {poi}.",,,,,
NOI,noi,標準,,関連 bridi ： 関係詞（非制限）； 左の sumti に関連する bridi を結びつける,,non-restrictive relative clause; attaches subordinate bridi with incidental information.,,,「pu viska lo nu ro da noi spesi'u jo'u verba jo'u gerku cu lacpu lo carce gi'e klave'u kei .u'i／夫婦で、子供と犬とみんないつしよに車をひつぱつて行商してゐるのを見た、おもしろいなあ。」（山頭火『行乞記』） ・読み方： ノイ,,,,,
NOI,poi,標準,,関連 bridi （制限） ： 関係詞（制限）； 左の sumti に関連する bridi を結びつける,,restrictive relative clause; attaches subordinate bridi with identifying information to a sumti.,,,「.u'u lo litru pe lo nu voksa poi mutce simsa tu'a lo patfu cu se badri／父によう似た声が出てくる旅はかなしい」（山頭火『行乞記（二）』） ・読み方： ポイ,,,,,
NOI,voi,標準,,叙述 bridi ： 関係詞（非制限）； 左の sumti を主観的に叙述する bridi を結びつける； この bridi が真に sumti に当てはまるとは限らない,,"non-veridical restrictive clause used to form complicated le-like descriptions using ""ke'a"".",,,・読み方： ヴォイ,,,,,
NOI,voi'i,非標準,,"titular relative clause: gives a title/name in the form of a relative clause, e.g. ""Alexander the Great"" or ""Woobie, Destroyer of Worlds""",,"titular relative clause: gives a title/name in the form of a relative clause, e.g. ""Alexander the Great"" or ""Woobie, Destroyer of Worlds""",,,"See comments for dialectal/proposal-related notes. For a bare title without a name or a descriptor, use {la} {poi'i}. Also see {voi'e}",,,,,
NOIhA,noi'a,非標準,,PA incidental relative clause; attaches to a PA number/numeral/digit with the ke'a referring to that PA number/numeral/digit.,,PA incidental relative clause; attaches to a PA number/numeral/digit with the ke'a referring to that PA number/numeral/digit.,,,"It attaches to the last mentioned PA, which can be only a single digit within a number rather than the entire number itself (if it has digit length greater than one in some base). Thus, beware of grouping. Confer: {poi'a}, {jau'au}. The attachment of this word to the immediately preceding word can be ovverriden by the usage of {xe'au}, which begins bracketing together an utterance/subexpression that will be considered to be the single and whole referent of the clause introduced by this word, wthe utterance of which also finishes the bracket. There is a proposal to expand the attachment of this word to any word spoken in a mekso utterance (rather than only members of selma'o PA), including members of selma'o VUhU, etc.",,,,,
NOIhA,poi'a,非標準,,PA restrictive relative clause; attaches to a PA number/numeral/digit with the ke'a referring to that PA number/numeral/digit.,,PA restrictive relative clause; attaches to a PA number/numeral/digit with the ke'a referring to that PA number/numeral/digit.,,,"It attaches to the last mentioned PA, which can be only a single digit within a number rather than the entire number itself (if it has digit length greater than one in some base). Thus, beware of grouping. Confer: {noi'a}, {jau'au}. The attachment of this word to the immediately preceding word can be ovverriden by the usage of {xe'au}, which begins bracketing together an utterance/subexpression that will be considered to be the single and whole referent of the clause introduced by this word, wthe utterance of which also finishes the bracket. There is a proposal to expand the attachment of this word to any word spoken in a mekso utterance (rather than only members of selma'o PA), including members of selma'o VUhU, etc.",,,,,
NOIhI,noi'i,非標準,,connective modifer/limiter,,connective modifer/limiter,,,"Used for {ji} and other connective questions.  It is preceded by such a connective (question) word and is followed by the set of words or the selma'o name to which the answer is expected/required to belong; the former may be literally a list of cmavo (such as 'zo .{e} ce zo .{a}', meaning that only AND or AND-OR are acceptable responses) or the name of a set of them (such as 'non-logical connectives', 'tanru after-thought connectives', 'symmetric connectives', 'all connectives except .{u}'. etc.). Terminated by {ge'u'i}. For example 'do djica tu'a loi ckafi ji noi'i lu .enai li'u ce lu na .e li'u ge'u'i loi tcati' asks 'Do you want: some coffee, some tea - where your answer can be only the former or the latter?'.",,,,,
NU,bu'ai,非標準,,量化型 selbri 変数抽象 ： 抽象詞； bridi の左に付いて、第3階以上の述語論理で使われる束縛 selbri 変数とする,,abstractor: abstractor to create logically quantified selbri variable to be used in predicate logic of third or higher order.,,,"第1階の述語論理では {zo'e} が定項、 {da} が束縛変項であり、第2階の述語論理では {co'e} が selbri 定数、 {bu'a} が束縛 selbri 変数である。 第3階以上の述語論理を表現するためには、第2階の selbri 全体を対象領域とする selbri が必要である。 NU類に属する {su'u} ・ {bu'ai} はそれぞれ、第2階の selbri 全体を対象領域とする selbri 定数・束縛 selbri 変数を構成することができる。 {bu'ai} が取る selbri 変数が2個以上になる場合は {ju'e} などで繋げる。 {bu'ai} を入れ子状に使えば、さらに高階の述語論理も構成できる。 例： su'o bu'ai xe'u kei su'o bu'a ro da zo'u bu'ai da bu'a （この {xe'u} はNU類を冠頭に置くためのダミー的な {selbrisle}） ・関連語： {su'u}, {bu'a}; {xe'u}.",,,,,
NU,du'u,標準,,命題抽象 ： 抽象詞； bridi の左に付いて、その bridi が内包する命題を抽出する； 抽象の焦点となる sumti を ce'u に替えて置ける； bridi の範囲を含めた全体が１つの selbri となる； 冠詞を左に加えると sumti になる； x_1 は x_2 （文字列）によって表される[bridi]（命題）,,abstractor: predication/bridi abstractor; x_1 is predication [bridi] expressed in sentence x_2.,-dum-,,・読み方： ドゥフ  ・関連語： {bridi},,,,,
NU,jei,標準,,真理値抽象 ： 抽象詞； bridi の左に付いて、その bridi が内包する真理値を抽出する； 抽象の焦点となる sumti を ce'u に替えて置ける； bridi の範囲を含めた全体が１つの selbri となる； 冠詞を左に加えると sumti になる；x_1 は[bridi]の真理値、 x_2 （認識体系）の,,abstractor: truth-value abstractor; x_1 is truth value of [bridi] under epistemology x_2.,-jez-,,「lo jei do mi nelci = あなたが私のことを好きかどうか」 ・大意： 抽象： 真理値 ・読み方： ジェイ,,,,,
NU,ka,標準,,性質抽象 ： 抽象詞； bridi の左に付いて、その bridi が内包する性質を抽出する； 抽象の焦点となる sumti を ce'u に替えて置ける； bridi の範囲を含めた全体が１つの selbri となる； 冠詞を左に加えると sumti になる；x_1 は［bridi］に表される性質,,abstractor: property/quality abstractor (-ness); x_1 is quality/property exhibited by [bridi].,-kam-,,「ka prami／愛（という性質）」「ka prami ce'u／愛されるという性質」「ka ce'u prami／愛するという性質」・大意： 抽象： 性質 ・読み方： カ ・語呂合わせ： 性質か ・関連語： {ckaji},,,,,
NU,ka'ei,非標準,,"abstractor: predicate abstractor. x_1 is the predicate expressed by [bridi], using bo'a, bo'e, etc for variables.",,"abstractor: predicate abstractor. x_1 is the predicate expressed by [bridi], using bo'a, bo'e, etc for variables.",,,"Identical in meaning to an n-ary {ka}, but with lambda-variables bound to {bo'a}/{bo'e}/{bo'i}/{bo'o}/{bo'u} ({bo'ai} for additional variables) instead of {ce'u} (which may still be used for ""next place""). This is mainly for convenience, to avoid having to assign pro-sumti to {ce'u} variables either with {goi} or {ce'ai}. See {me'ei}, {me'au}, {cei'e}, {ckaji}, {ckini}",,,,,
NU,kai'ei,非標準,,"abstractor: x_1 (x_2, ...) are such that they satisfy [bridi], using bo'a/bo'e/etc for variables",,"abstractor: x_1 (x_2, ...) are such that they satisfy [bridi], using bo'a/bo'e/etc for variables",,,"{kai'ei} is to {kai'u} what {ka'ei} is to {ka}. Uses {bo'a}/{bo'e}/{bo'i}/{bo'o}/{bo'u} ({bo'ai} for more variables) instead of {ce'u} (which may still be used for ""next place"").",,,,,
NU,kai'u,非標準,,"abstractor: x_1 (x_2, ...) are such that they satisfy [bridi], binding to the open {ce'u} slots.",,"abstractor: x_1 (x_2, ...) are such that they satisfy [bridi], binding to the open {ce'u} slots.",,,"See also {me'au}, {emna}, {ka} and {ce'u}",,,,,
NU,li'i,標準,,経験抽象 ： 抽象詞； bridi の左に付いて、その bridi が内包する経験を抽出する； 抽象の焦点となる sumti を ce'u に替えて置ける； bridi の範囲を含めた全体が１つの selbri となる； 冠詞を左に加えると sumti になる；x_1 は［bridi］に表される経験、 x_2 （経験者）の,,abstractor: experience abstractor; x_1 is x_2's experience of [bridi] (participant or observer).,-liz-,,・大意： 抽象： 経験 ・読み方： ルィヒ  ・関連語： {lifri},,,,,
NU,ni,標準,,数量抽象 ： 抽象詞； bridi の左に付いて、その bridi が内包する数量を抽出する； 抽象の焦点となる sumti を ce'u に替えて置ける； bridi の範囲を含めた全体が１つの selbri となる； 冠詞を左に加えると sumti になる；x_1 は［bridi］に表される数量、 x_2 （尺度）の,,abstractor: quantity/amount abstractor; x_1 is quantity/amount of [bridi] measured on scale x_2.,-nil-,,・大意： 抽象： 数量 ・読み方： ニ  ・関連語： {klani},,,,,
NU,ni'ai,非標準,,"x_1 is a number/value such that the abstraction is true, under mathematical system x_2; x_1 binds to ke'a within the abstraction",,"x_1 is a number/value such that the abstraction is true, under mathematical system x_2; x_1 binds to ke'a within the abstraction",,,Essentially a specialized version of {poi'i} for use with predicated mathematical statements (as an alternative to mekso). See also {ke'a}.,,,,,
NU,nu,標準,,事象抽象 ： 抽象詞； bridi の左に付いて、その bridi が内包する事象を抽出する； 抽象の焦点となる sumti を ce'u に替えて置ける； bridi の範囲を含めた全体が１つの selbri となる； 冠詞を左に加えると sumti になる；x_1 は［bridi］に表される事象,,abstractor: generalized event abstractor; x_1 is state/process/achievement/activity of [bridi].,-nun-,,NUの中では su'u に次いで抽出対象が最も広い。 過程（pu'u）／時点（mu'e）／動作（zu'o）／状態（za'i）／経験（li'i）も含まれる。 ・大意： 抽象： 事象 ・読み方： ヌ  ・関連語： {fasnu},,,,,
NU,poi'i,非標準,,x1 is such that poi'i abstraction is true; x1 binds ke'a within the abstraction. ,,x1 is such that poi'i abstraction is true; x1 binds ke'a within the abstraction. ,,,Originally proposed by And Rosta around 2001.,,,,,
NU,si'o,標準,,概念抽象 ： 抽象詞； bridi の左に付いて、その bridi が内包する概念を抽出する； 抽象の焦点となる sumti を ce'u に替えて置ける； bridi の範囲を含めた全体が１つの selbri となる； 冠詞を左に加えると sumti になる；x_1 は［bridi］に表される概念、 x_2 （思考者）の,,abstractor: idea/concept abstractor; x_1 is x_2's concept of [bridi].,-siz-,,・大意： 抽象： 概念 ・読み方： スィホ  ・関連語： {sidbo},,,,,
NU,su'u,標準,,不特定抽象 ： 抽象詞； bridi の左に付いて、その bridi の不特定の内包要素を抽出する； 抽象の焦点となる sumti を ce'u に替えて置ける； bridi の範囲を含めた全体が１つの selbri となる； 冠詞を左に加えると sumti になる；x_1 は［bridi］に表される不特定の抽象、 x_2 （種類）の,,abstractor: generalized abstractor (how); x_1 is [bridi] as a non-specific abstraction of type x_2.,-suv-,,NUの中では抽出対象の範囲が最も広い。・大意： 抽象： 不特定 ・読み方： スフ  ・関連語： {sucta},,,,,
NU*,du'ukau,複合cmavo,,bridi abstractor: x_1 is the answer to the question x_2,,bridi abstractor: x_1 is the answer to the question x_2,,,"Experimental cmavo compound. Equivalent to {du'u} with {kau} attached to all question words (e.g. {ma}, {mo}, {xo}) contained. See {preti}, {danfu}, {du'umrei}",,,,,
NU*,li'i ze'ei ka,複合cmavo,,abstractor: experience of being: x_1 is x_2's experience of being [bridi] (property of x_2; with {ce'u} referring to x_2's position),,abstractor: experience of being: x_1 is x_2's experience of being [bridi] (property of x_2; with {ce'u} referring to x_2's position),,,"= {li'imdu} {be} {lo} {ka}. See {li'i}, {ze'ei}, {li'i ze'ei nu}",,,,,
NU*,li'i ze'ei nu,複合cmavo,,abstractor: experience of event: x_1 is x_2's experience of observing or participating in [bridi] (event),,abstractor: experience of event: x_1 is x_2's experience of observing or participating in [bridi] (event),,,"= {li'imdu} {be} {lo} {nu}. See {li'i}, {ze'ei}, {li'i ze'ei ka}",,,,,
NU*,sedu'u,複合cmavo,,記号抽象 ： 命題の左に付いて、その命題を表す記号を抽出する； x_1 は x_2 （命題）の記号／文字列／表現,,compound abstractor: sentence/equation abstract; x_1 is text expressing [bridi] which is x_2.,,,・読み方： セドゥフ,,,,,
NU*,si'o ze'ei du'u,複合cmavo,,abstractor: x_1 is x_2's concept of [bridi] (proposition or {kau}-question),,abstractor: x_1 is x_2's concept of [bridi] (proposition or {kau}-question),,,"= {lo} {sidbo} {be} {lo} {du'u}. See {si'o}, {ze'ei}, {kau}",,,,,
NU*,si'o ze'ei ka,複合cmavo,,abstractor: x_1 is x_2's concept of the property [bridi],,abstractor: x_1 is x_2's concept of the property [bridi],,,"= {sidbo} {be} {lo} {ka}. See {si'o}, {ze'ei}",,,,,
NU*,si'o ze'ei nu,複合cmavo,,abstractor: x_1 is x_2's concept of the event [bridi],,abstractor: x_1 is x_2's concept of the event [bridi],,,"= {sidbo} {be} {lo} {nu}. See {si'o}, {ze'ei}",,,,,
NU*,si'o ze'ei poi'i,複合cmavo,,abstractor: x_1 is x_2's concept of the object bound to {ke'a} and described by [bridi],,abstractor: x_1 is x_2's concept of the object bound to {ke'a} and described by [bridi],,,"= {lo} {sidbo} {be} {lo} {poi'i}. See {si'o}, {ze'ei}",,,,,
NU1,mu'e,標準,,時点抽象 ： 抽象詞；  bridi の左に付いて、その bridi が内包する時点を抽出する； 抽象の焦点となる sumti を ce'u に替えて置ける； bridi の範囲を含めた全体が１つの selbri となる； 冠詞を左に加えると sumti になる；x_1 は［bridi］に表される時点,,abstractor: achievement (event) abstractor; x_1 is the event-as-a-point/achievement of [bridi].,-muf-,,・大意： 抽象： 時点 ・読み方： ムヘ,,,,,
NU1,pu'u,標準,,過程抽象 ： 抽象詞； bridi の左に付いて、その bridi が内包する過程を抽出する； 抽象の焦点となる sumti を ce'u に替えて置ける； bridi の範囲を含めた全体が１つの selbri となる； 冠詞を左に加えると sumti になる；x_1 は［bridi］に表される過程、 x_2 （段階）の,,abstractor: process (event) abstractor; x_1 is process of [bridi] proceeding in stages x_2.,-puv-,,・大意： 抽象： 過程 ・読み方： プフ  ・関連語： {pruce},,,,,
NU1,za'i,標準,,抽象・状態 ： 抽象詞； bridi の左に付いて、その bridi が内包する状態を抽出する； 抽象の焦点となる sumti を ce'u に替えて置ける； bridi の範囲を含めた全体が１つの selbri となる； 冠詞を左に加えると sumti になる；x_1 は［bridi］に表される状態,,abstractor: state (event) abstractor; x_1 is continuous state of [bridi] being true.,-zaz-,,"・大意： 抽象： 状態 ・読み方： ザヒ  ・関連語： {zasni}, {zasti}, {tcini}",,,,,
NU1,zu'o,標準,,動作 ： 抽象詞； bridi の左に付いて、その bridi が内包する動作を抽出する； 抽象の焦点となる sumti を ce'u に替えて置ける； bridi の範囲を含めた全体が１つの selbri となる； 冠詞を左に加えると sumti になる；x_1 は［bridi］に表される動作、 x_2 （要素）の,,abstractor: activity (event) abstractor; x_1 is abstract activity of [bridi] composed of x_2.,-zum-,,蟻の手洗いも銀河の運行も。「lo zu'o citka」で「食べる動き」「食事作法」など。 ・大意： 抽象： 動作 ・読み方： ズホ  ・関連語： {zukte},,,,,
NUhA,nu'a,標準,,演算子 → selbri ： MEX（数式）演算子を selbri に変換する,,convert mathematical expression (mex) operator to a selbri/tanru component.,,,・読み方： ヌハ,,,,,
NUhI,nu'i,標準,,名辞グループ開始（前置型） ： 同じ述辞のPS上に複数の名辞（項辞や付辞）を並べる際、その名辞のグループの始まりを示す； グループの終わりは nu'u で示す,,start forethought termset construct; marks start of place structure set with logical connection.,,,「klama nu'i ge lo zarci (x_2) lo briju (x_3) nu'u gi lo zdani (x_2) lo ckule (x_3) [nu'u]／店(x_2)から会社(x_3)に行き、家(x_2)から学校(x_3)に行く」 ・読み方： ヌヒ ・関連語： {ce'e}; {nu'u},,,,,
NUhU,nu'u,標準,,名辞グループ終了（前置型） ： 境界詞； NUhI で開かれた名辞グループの範囲を閉じる,,elidable terminator: end forethought termset; usually elidable except with following sumti.,,,・読み方： ヌフ,,,,,
PA,soi'a,非標準,,almost all/almost every/almost everywhere (technical sense): there is a conull subset of such things that are satisfactory,,almost all/almost every/almost everywhere (technical sense): there is a conull subset of such things that are satisfactory,,,"Can be used as a quantifier. See also: {soi'u}, {pisoi'a}",,,,,
PA,soi'u,非標準,,almost none/almost no/almost nowhere (technical sense): the subset of satisfactory such things is null,,almost none/almost no/almost nowhere (technical sense): the subset of satisfactory such things is null,,,"Can be used as a quantifier. See also: {soi'a}, {pisoi'u}",,,,,
PA*,biki'o,複合cmavo,,"number/quantity: 8,000 expressed with comma.",,"number/quantity: 8,000 expressed with comma.",,,,,,,,
PA*,bino,複合cmavo,,number/quantity: 80 [eighty].,,number/quantity: 80 [eighty].,,,,,,,,
PA*,binono,複合cmavo,,number/quantity: 800 [eight hundred].,,number/quantity: 800 [eight hundred].,,,,,,,,
PA*,binonovo,複合cmavo,,"number/quantity: 8004, without comma.",,"number/quantity: 8004, without comma.",,,,,,,,
PA*,ciki'o,複合cmavo,,"number/quantity: 3,000 expressed with comma.",,"number/quantity: 3,000 expressed with comma.",,,,,,,,
PA*,cino,複合cmavo,,number/quantity: 30 [thirty].,,number/quantity: 30 [thirty].,,,,,,,,
PA*,cinono,複合cmavo,,number/quantity: 300 [three hundred].,,number/quantity: 300 [three hundred].,,,,,,,,
PA*,fi'ure,複合cmavo,,half.,,half.,,,synonym {pimu}; see also {xadba},,,,,
PA*,ji'ima'u,複合cmavo,,切り上げ ： 数量詞； プラス方向の約,,rounded up (appended after string of digits indicating a rounded value).,,,・読み方： ジヒマウ,,,,,
PA*,ji'ini'u,複合cmavo,,切り下げ ： 数量詞； マイナス方向の約,,rounded down (appended after string of digits indicating a rounded value).,,,・読み方： ジヒニフ,,,,,
PA*,muki'o,複合cmavo,,"number/quantity: 5,000 expressed with comma.",,"number/quantity: 5,000 expressed with comma.",,,,,,,,
PA*,muno,複合cmavo,,number/quantity: 50 [fifty].,,number/quantity: 50 [fifty].,,,,,,,,
PA*,munono,複合cmavo,,number/quantity: 500 [five hundred].,,number/quantity: 500 [five hundred].,,,,,,,,
PA*,pabi,複合cmavo,,number/quantity: 18 [eighteen].,,number/quantity: 18 [eighteen].,,,,,,,,
PA*,paci,複合cmavo,,number/quantity: 13 [thirteen].,,number/quantity: 13 [thirteen].,,,,,,,,
PA*,paki'o,複合cmavo,,"number/quantity: 1,000 expressed with comma.",,"number/quantity: 1,000 expressed with comma.",,,,,,,,
PA*,pamu,複合cmavo,,number/quantity: 15 [fifteen].,,number/quantity: 15 [fifteen].,,,,,,,,
PA*,pano,複合cmavo,,number/quantity: 10 [ten].,,number/quantity: 10 [ten].,,,,,,,,
PA*,panoki'oki'o,複合cmavo,,"number/quantity: 10,000,000 [ten millions](Western numbering system/1,00,00,000 [100 lakhs](Indian numbering system).",,"number/quantity: 10,000,000 [ten millions](Western numbering system/1,00,00,000 [100 lakhs](Indian numbering system).",,,Cf. {panonoki'o}.,,,,,
PA*,panono,複合cmavo,,number/quantity: 100 [one hundred].,,number/quantity: 100 [one hundred].,,,,,,,,
PA*,panonoki'o,複合cmavo,,"number/quantity: 100,000 [hundred thousand](Western numbering system)/[one lakh](Indian numbering system)..",,"number/quantity: 100,000 [hundred thousand](Western numbering system)/[one lakh](Indian numbering system)..",,,Cf. {panoki'oki'o}.,,,,,
PA*,papa,複合cmavo,,number/quantity: 11 [eleven].,,number/quantity: 11 [eleven].,,,,,,,,
PA*,pare,複合cmavo,,number/quantity: 12 [twelve].,,number/quantity: 12 [twelve].,,,,,,,,
PA*,paso,複合cmavo,,number/quantity: 19 [nineteen].,,number/quantity: 19 [nineteen].,,,,,,,,
PA*,pavo,複合cmavo,,number/quantity: 14 [fourteen].,,number/quantity: 14 [fourteen].,,,,,,,,
PA*,paxa,複合cmavo,,number/quantity: 16 [sixteen].,,number/quantity: 16 [sixteen].,,,,,,,,
PA*,paze,複合cmavo,,number/quantity: 17 [seventeen].,,number/quantity: 17 [seventeen].,,,,,,,,
PA*,pidu'e,複合cmavo,,多過ぎる ： 数量詞；,,number: too much of.,,,・読み方： ピフゥヘ,,,,,
PA*,piji'i,複合cmavo,,number: approximately all of.,,number: approximately all of.,,,,,,,,
PA*,pimo'a,複合cmavo,,number: too little of.,,number: too little of.,,,,,,,,
PA*,pimu,複合cmavo,,half.,,half.,,,synonym {fi'ure}; see also {xadba},,,,,
PA*,piro,複合cmavo,,number: all of.,,number: all of.,,,,,,,,
PA*,piso'a,複合cmavo,,number: almost all of.,,number: almost all of.,,,,,,,,
PA*,piso'e,複合cmavo,,number: most of.,,number: most of.,,,,,,,,
PA*,piso'i,複合cmavo,,number: much of.,,number: much of.,,,,,,,,
PA*,pisoi'a,複合cmavo,,almost all of/almost 1/almost surely/almost certainly (technical sense),,almost all of/almost 1/almost surely/almost certainly (technical sense),,,,,,,,
PA*,pisoi'u,複合cmavo,,almost none of/almost 0/almost never/almost certainly not/nearly nothing of (technical sense),,almost none of/almost 0/almost never/almost certainly not/nearly nothing of (technical sense),,,,,,,,
PA*,piso'o,複合cmavo,,number: some of.,,number: some of.,,,,,,,,
PA*,piso'u,複合cmavo,,number: a little of.,,number: a little of.,,,,,,,,
PA*,pisu'o,複合cmavo,,number: at least some of.,,number: at least some of.,,,,,,,,
PA*,reki'o,複合cmavo,,"number/quantity: 2,000 expressed with comma.",,"number/quantity: 2,000 expressed with comma.",,,,,,,,
PA*,reno,複合cmavo,,number/quantity: 20 [twenty].,,number/quantity: 20 [twenty].,,,,,,,,
PA*,renono,複合cmavo,,number/quantity: 200 [two hundred].,,number/quantity: 200 [two hundred].,,,,,,,,
PA*,soki'o,複合cmavo,,"number/quantity: 9,000 expressed with comma.",,"number/quantity: 9,000 expressed with comma.",,,,,,,,
PA*,sono,複合cmavo,,number/quantity: 90 [ninety].,,number/quantity: 90 [ninety].,,,,,,,,
PA*,sonono,複合cmavo,,number/quantity: 900 [nine hundred].,,number/quantity: 900 [nine hundred].,,,,,,,,
PA*,sosoce'i,複合cmavo,,number/quantity: 99% (number).,,number/quantity: 99% (number).,,,,,,,,
PA*,sozepimu,複合cmavo,,number/quantity:  97.5.,,number/quantity:  97.5.,,,,,,,,
PA*,voki'o,複合cmavo,,"number/quantity: 4,000 expressed with comma.",,"number/quantity: 4,000 expressed with comma.",,,,,,,,
PA*,vono,複合cmavo,,number/quantity: 40 [forty].,,number/quantity: 40 [forty].,,,,,,,,
PA*,vonono,複合cmavo,,number/quantity: 400 [four hundred].,,number/quantity: 400 [four hundred].,,,,,,,,
PA*,xaki'o,複合cmavo,,"number/quantity: 6,000 expressed with comma.",,"number/quantity: 6,000 expressed with comma.",,,,,,,,
PA*,xano,複合cmavo,,number/quantity: 60 [sixty].,,number/quantity: 60 [sixty].,,,,,,,,
PA*,xanono,複合cmavo,,number/quantity: 600 [six hundred].,,number/quantity: 600 [six hundred].,,,,,,,,
PA*,xavoki'o,複合cmavo,,"number/quantity: 64,000 expressed with comma.",,"number/quantity: 64,000 expressed with comma.",,,,,,,,
PA*,zeki'o,複合cmavo,,"number/quantity: 7,000 expressed with comma.",,"number/quantity: 7,000 expressed with comma.",,,,,,,,
PA*,zeno,複合cmavo,,number/quantity: 70 [seventy].,,number/quantity: 70 [seventy].,,,,,,,,
PA*,zenono,複合cmavo,,number/quantity: 700 [seven hundred].,,number/quantity: 700 [seven hundred].,,,,,,,,
PA*4,da'ane'e,複合cmavo,,digit/number: counting from least contextually-possible number; least possible number + n; default n=1,,digit/number: counting from least contextually-possible number; least possible number + n; default n=1,,,"Counts up from {rone'e}, similar to how {da'a} counts down from {ro}",,,,,
PA*4,rone'e,複合cmavo,,digit/number: least contextually-possible number,,digit/number: least contextually-possible number,,,"= {ro} + {ne'e}. Could mean {ni'u}{ro}, {no}/{no'ai}, or even ""400/600"" (SAT score), depending on context. See {da'ane'e}",,,,,
PA*4,su'ero,複合cmavo,,digit/number: any number,,digit/number: any number,,,"Not more than all; idiom to indicate that any number (within contextual limits, i.e. {rone'e} {bi'i} {ro}) would satisfy the predicate. {su'o}{no} ""at least zero"" is also usable in contexts where negative numbers aren't meaningful (e.g. most quantifiers). See {xe'e}, {xo'e}",,,,,
PA*4,xe'enai,複合cmavo,,digit/number: specific referent; modifies quantifier to indicate that there are particular referents that fulfill the predicate,,digit/number: specific referent; modifies quantifier to indicate that there are particular referents that fulfill the predicate,,,"({xe'e} pa prenu) = ""any one person / one non-specific person"", (xe'enai pa prenu) = ""one specific person"". See {itca}, {steci}, {su'anai}",,,,,
PA1,bi,標準,,8 ： 数量詞,,digit/number: 8 (digit) [eight].,-biv-,,・大意： 8 ・読み方： ビ,,,,,
PA1,ci,標準,,3 ： 数量詞；,,digit/number: 3 (digit) [three].,-cib-,,・大意： 3 ・読み方： シ ・語呂合わせ： 資産,,,,,
PA1,mu,標準,,5 ： 数量詞；,,digit/number: 5 (digit) [five].,-mum-,,・大意： 5 ・読み方： ム,,,,,
PA1,no,標準,,0 ： 数量詞；,,digit/number: 0 (digit) [zero].,-non-,,・大意： 0 ・読み方： ノ,,,,,
